,NAME (ARRIVAL),TRANSITION NAME,Trajectory
55,BRUEN TWO,ESTWD-SHIPM,"[[33.5419, -114.0649, 270], [34.0322, -115.0108, 269], [34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 267], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251], [34.0, -118.3734, 251]]"
56,BRUEN TWO,ESTWD-NIKEY,"[[33.5419, -114.0649, 270], [34.0322, -115.0108, 269], [34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 252], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251], [33.504, -118.2939, 251]]"
57,BRUEN TWO,FNNDA-SHIPM,"[[34.4515, -114.4518, 221], [34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 267], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251], [34.0, -118.3734, 251]]"
58,BRUEN TWO,FNNDA-NIKEY,"[[34.4515, -114.4518, 221], [34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 252], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251], [33.504, -118.2939, 251]]"
59,BRUEN TWO,GABBL-SHIPM,"[[34.3057, -114.0321, 244], [34.1949, -114.5518, 243], [34.1553, -115.1306, 244], [34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 267], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251], [34.0, -118.3734, 251]]"
60,BRUEN TWO,GABBL-NIKEY,"[[34.3057, -114.0321, 244], [34.1949, -114.5518, 243], [34.1553, -115.1306, 244], [34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 252], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251], [33.504, -118.2939, 251]]"
61,BRUEN TWO,MDLER-SHIPM,"[[34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 267], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251], [34.0, -118.3734, 251]]"
62,BRUEN TWO,MDLER-NIKEY,"[[34.095, -115.4122, 251], [34.0805, -115.5923, 251], [34.0615, -116.1756, 251], [34.0423, -116.3518, 252], [34.0243, -116.5317, 250], [34.0014, -117.1405, 253], [33.5905, -117.3052, 253], [33.5838, -117.3735, 253], [33.5814, -117.432, 252], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251], [33.504, -118.2939, 251]]"
63,BOGET TWO,BUGGA,"[[34.4308, -115.4306, 269], [34.4753, -116.1424, 256], [34.4715, -116.3324, 251], [34.4623, -116.4219, 251], [34.4528, -116.5143, 251], [34.4146, -117.2745, 251], [34.4044, -117.3722, 251], [34.3912, -117.5149, 235], [34.3513, -118.0256, 235], [34.3051, -118.1505, 183], [34.1903, -118.1848, 173], [34.1625, -118.1904, 157], [34.1233, -118.181, 140]]"
64,BOGET TWO,NEEDLES,"[[34.4636, -114.5838, 259], [34.4725, -115.4911, 259], [34.4753, -116.1424, 256], [34.4715, -116.3324, 251], [34.4623, -116.4219, 251], [34.4528, -116.5143, 251], [34.4146, -117.2745, 251], [34.4044, -117.3722, 251], [34.3912, -117.5149, 235], [34.3513, -118.0256, 235], [34.3051, -118.1505, 183], [34.1903, -118.1848, 173], [34.1625, -118.1904, 157], [34.1233, -118.181, 140]]"
65,BOGET TWO,KREME,"[[34.5509, -116.1305, 233], [34.4715, -116.3324, 251], [34.4623, -116.4219, 251], [34.4528, -116.5143, 251], [34.4146, -117.2745, 251], [34.4044, -117.3722, 251], [34.3912, -117.5149, 235], [34.3513, -118.0256, 235], [34.3051, -118.1505, 183], [34.1903, -118.1848, 173], [34.1625, -118.1904, 157], [34.1233, -118.181, 140]]"
66,BOGET TWO,PURSE,"[[35.3454, -115.1153, 216], [35.0733, -115.4842, 226], [34.5509, -116.1305, 233], [34.4715, -116.3324, 251], [34.4623, -116.4219, 251], [34.4528, -116.5143, 251], [34.4146, -117.2745, 251], [34.4044, -117.3722, 251], [34.3912, -117.5149, 235], [34.3513, -118.0256, 235], [34.3051, -118.1505, 183], [34.1903, -118.1848, 173], [34.1625, -118.1904, 157], [34.1233, -118.181, 140]]"
67,BOGET TWO,WELUM,"[[35.2256, -114.5559, 239], [35.0733, -115.4842, 226], [34.5509, -116.1305, 233], [34.4715, -116.3324, 251], [34.4623, -116.4219, 251], [34.4528, -116.5143, 251], [34.4146, -117.2745, 251], [34.4044, -117.3722, 251], [34.3912, -117.5149, 235], [34.3513, -118.0256, 235], [34.3051, -118.1505, 183], [34.1903, -118.1848, 173], [34.1625, -118.1904, 157], [34.1233, -118.181, 140]]"
68,BOGET TWO,WNCHL,"[[35.0025, -116.1102, 244], [34.5838, -116.1942, 244], [34.4416, -117.282, 243], [34.4215, -117.3744, 243], [34.3912, -117.5149, 235], [34.3513, -118.0256, 235], [34.3051, -118.1505, 183], [34.1903, -118.1848, 173], [34.1625, -118.1904, 157], [34.1233, -118.181, 140]]"
69,BIGBR THREE,CGNEY-SASSI,"[[34.455, -114.2239, 260], [34.4735, -115.2738, 234], [34.3801, -115.5336, 234], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 252], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251]]"
70,BIGBR THREE,CGNEY-WNDFL,"[[34.455, -114.2239, 260], [34.4735, -115.2738, 234], [34.3801, -115.5336, 234], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 237], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251]]"
71,BIGBR THREE,DNERO-SASSI,"[[35.0207, -114.5416, 230], [34.4735, -115.2738, 234], [34.3801, -115.5336, 234], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 252], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251]]"
72,BIGBR THREE,DNERO-WNDFL,"[[35.0207, -114.5416, 230], [34.4735, -115.2738, 234], [34.3801, -115.5336, 234], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 237], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251]]"
73,BIGBR THREE,HAKMN-SASSI,"[[35.3028, -115.0447, 215], [35.0729, -115.344, 214], [34.4628, -116.0126, 214], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 252], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251]]"
74,BIGBR THREE,HAKMN-WNDFL,"[[35.3028, -115.0447, 215], [35.0729, -115.344, 214], [34.4628, -116.0126, 214], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 237], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251]]"
75,BIGBR THREE,OTOOL-SASSI,"[[34.5333, -116.241, 202], [34.3515, -116.3854, 205], [34.2453, -116.4812, 204], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 252], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251]]"
76,BIGBR THREE,OTOOL-WNDFL,"[[34.5333, -116.241, 202], [34.3515, -116.3854, 205], [34.2453, -116.4812, 204], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 237], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251]]"
77,BIGBR THREE,SHTNR-SASSI,"[[35.0729, -115.344, 214], [34.4628, -116.0126, 214], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 252], [34.0042, -118.0129, 253], [33.5937, -118.1552, 264], [34.0037, -118.2726, 259], [34.0039, -118.3059, 251], [34.0014, -118.3511, 251]]"
78,BIGBR THREE,SHTNR-WNDFL,"[[35.0729, -115.344, 214], [34.4628, -116.0126, 214], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0805, -117.1618, 244], [34.0444, -117.3214, 244], [34.032, -117.3854, 244], [34.0214, -117.4408, 237], [33.5641, -118.0058, 253], [33.5542, -118.1423, 226], [33.5123, -118.2245, 251], [33.5055, -118.2716, 251]]"
79,BAYST ONE,BURGL,"[[35.3958, -120.0628, 136], [35.172, -119.4927, 130], [34.5454, -119.2834, 132], [34.45, -119.1942, 132], [34.3906, -119.1433, 132], [34.3351, -119.1001, 132], [34.2634, -119.0334, 132], [34.2035, -118.5823, 131], [34.1521, -118.5339, 131], [34.0954, -118.4839, 126], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
80,BAYST ONE,CERNL,"[[33.1642, -122.2538, 48], [34.0735, -120.3818, 64], [34.1131, -120.1908, 75], [34.1206, -120.0357, 79], [34.1128, -119.2134, 79], [34.111, -119.0347, 103], [34.0352, -118.4509, 103], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
81,BAYST ONE,FRASR,"[[34.3815, -118.5723, 160], [34.1521, -118.5339, 131], [34.0954, -118.4839, 126], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
82,BAYST ONE,HUULL,"[[34.1206, -120.0357, 79], [34.1128, -119.2134, 79], [34.111, -119.0347, 103], [34.0352, -118.4509, 103], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
83,BAYST ONE,MUPTT,"[[34.45, -119.1942, 132], [34.3906, -119.1433, 132], [34.3351, -119.1001, 132], [34.2634, -119.0334, 132], [34.2035, -118.5823, 131], [34.1521, -118.5339, 131], [34.0954, -118.4839, 126], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
84,BAYST ONE,REBRG,"[[35.5853, -119.3653, 185], [35.4001, -119.4358, 179], [35.172, -119.4927, 130], [34.5454, -119.2834, 132], [34.45, -119.1942, 132], [34.3906, -119.1433, 132], [34.3351, -119.1001, 132], [34.2634, -119.0334, 132], [34.2035, -118.5823, 131], [34.1521, -118.5339, 131], [34.0954, -118.4839, 126], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
85,BAYST ONE,RYDRR,"[[34.111, -119.0347, 103], [34.0352, -118.4509, 103], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
86,BAYST ONE,SNAXX,"[[34.0822, -120.5839, 72], [34.1131, -120.1908, 75], [34.1206, -120.0357, 79], [34.1128, -119.2134, 79], [34.111, -119.0347, 103], [34.0352, -118.4509, 103], [34.0147, -118.3949, 84], [34.011, -118.3315, 84], [34.0037, -118.2726, 110], [33.5602, -118.184, 95], [33.5454, -118.0344, 71]]"
87,BASET FIVE,HECTOR,"[[34.80611111, -116.47166667, 211], [34.2324, -116.5741, 210], [34.1554, -117.0647, 210], [34.0207, -117.2324, 248], [34.0043, -117.381, 248], [33.5958, -117.4601, 248], [33.5843, -117.5843, 248], [33.5751, -118.0725, 248], [33.5657, -118.1633, nan]]"
88,BASET FIVE,JULIAN,"[[33.14527778, -116.58777778, 303], [33.44, -117.1335, 303], [33.4906, -117.191, 285], [33.91944444, -117.53888889, 277], [33.5958, -117.4601, 248], [33.5843, -117.5843, 248], [33.5751, -118.0725, 248], [33.5657, -118.1633, nan]]"
89,BASET FIVE,PEACH SPRINGS,"[[35.63, -113.55194444, 229], [34.4308, -115.4306, 226], [34.361, -115.5913, 226], [34.2458, -116.2455, 226], [34.0633, -117.0625, 226], [34.0254, -117.1433, 248], [34.0207, -117.2324, 248], [34.0043, -117.381, 248], [33.5958, -117.4601, 248], [33.5843, -117.5843, 248], [33.5751, -118.0725, 248], [33.5657, -118.1633, nan]]"
90,BASET FIVE,TWENTYNINE PALMS,"[[34.12027778, -115.77194444, 245], [34.0034, -116.2726, 249], [33.5908, -116.4358, 249], [33.5715, -117.0642, 249], [33.5639, -117.1352, 249], [33.91944444, -117.53888889, 277], [33.5958, -117.4601, 248], [33.5843, -117.5843, 248], [33.5751, -118.0725, 248], [33.5657, -118.1633, nan]]"
91,ANJLL FOUR,CGNEY,"[[34.455, -114.2239, 260], [34.4735, -115.2738, 234], [34.3801, -115.5336, 234], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0957, -117.0902, 240], [34.0619, -117.2213, 241], [34.0424, -117.2954, nan]]"
92,ANJLL FOUR,DNERO,"[[35.0207, -114.5416, 230], [34.4735, -115.2738, 234], [34.3801, -115.5336, 234], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0957, -117.0902, 240], [34.0619, -117.2213, 241], [34.0424, -117.2954, nan]]"
93,ANJLL FOUR,HAKMN,"[[35.3028, -115.0447, 215], [35.0729, -115.344, 214], [34.4628, -116.0126, 214], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0957, -117.0902, 240], [34.0619, -117.2213, 241], [34.0424, -117.2954, nan]]"
94,ANJLL FOUR,OTOOL,"[[34.5333, -116.241, 202], [34.3515, -116.3854, 205], [34.2453, -116.4812, 204], [34.124, -116.5858, 240], [34.0957, -117.0902, 240], [34.0619, -117.2213, 241], [34.0424, -117.2954, nan]]"
95,ANJLL FOUR,SALYY,"[[34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0957, -117.0902, 240], [34.0619, -117.2213, 241], [34.0424, -117.2954, nan]]"
96,ANJLL FOUR,SHTNR,"[[35.0729, -115.344, 214], [34.4628, -116.0126, 214], [34.2501, -116.2837, 232], [34.2005, -116.4035, 232], [34.124, -116.5858, 240], [34.0957, -117.0902, 240], [34.0619, -117.2213, 241], [34.0424, -117.2954, nan]]"
